sample	public_name	accession_number	condition	stage	stageName	sampleName
zmp_ph120_pool10	ZMP_phenotype_120_72hpf_pool10	ERS568941	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_10
zmp_ph120_pool11	ZMP_phenotype_120_72hpf_pool11	ERS568942	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_11
zmp_ph120_pool2	ZMP_phenotype_120_72hpf_pool2	ERS568933	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_2
zmp_ph120_pool3	ZMP_phenotype_120_72hpf_pool3	ERS568934	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_3
zmp_ph120_pool4	ZMP_phenotype_120_72hpf_pool4	ERS568935	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_4
zmp_ph120_pool5	ZMP_phenotype_120_72hpf_pool5	ERS568936	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_5
zmp_ph120_pool6	ZMP_phenotype_120_72hpf_pool6	ERS568937	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_6
zmp_ph120_pool7	ZMP_phenotype_120_72hpf_pool7	ERS568938	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_7
zmp_ph120_pool8	ZMP_phenotype_120_72hpf_pool8	ERS568939	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_8
zmp_ph120_pool9	ZMP_phenotype_120_72hpf_pool9	ERS568940	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_pool_9
zmp_ph120_F1	ZMP_phenotype_120_72hpf_F1	ERS568920	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F1
zmp_ph120_F10	ZMP_phenotype_120_72hpf_F10	ERS568929	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F10
zmp_ph120_F11	ZMP_phenotype_120_72hpf_F11	ERS568930	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F11
zmp_ph120_F12	ZMP_phenotype_120_72hpf_F12	ERS568931	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F12
zmp_ph120_F2	ZMP_phenotype_120_72hpf_F2	ERS568921	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F2
zmp_ph120_F3	ZMP_phenotype_120_72hpf_F3	ERS568922	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F3
zmp_ph120_F4	ZMP_phenotype_120_72hpf_F4	ERS568923	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F4
zmp_ph120_F5	ZMP_phenotype_120_72hpf_F5	ERS568924	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F5
zmp_ph120_F6	ZMP_phenotype_120_72hpf_F6	ERS568925	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F6
zmp_ph120_F7	ZMP_phenotype_120_72hpf_F7	ERS568926	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F7
zmp_ph120_F8	ZMP_phenotype_120_72hpf_F8	ERS568927	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F8
zmp_ph120_F9	ZMP_phenotype_120_72hpf_F9	ERS568928	ZFS:0000035	Larval:Protruding-mouth	Protruding-mouth	Protruding-mouth_detct_single_F9
zmp_ph121_pool1	ZMP_phenotype_121_4dpf_pool1	ERS626194	ZFS:0000036	Larval:Day-4	Day-4	Day-4_detct_pool_1
zmp_ph121_pool10	ZMP_phenotype_121_4dpf_pool10	ERS626203	ZFS:0000036	Larval:Day-4	Day-4	Day-4_detct_pool_10
zmp_ph121_pool11	ZMP_phenotype_121_4dpf_pool11	ERS626204	ZFS:0000036	Larval:Day-4	Day-4	Day-4_detct_pool_11
zmp_ph121_pool2	ZMP_phenotype_121_4dpf_pool2	ERS626195	ZFS:0000036	Larval:Day-4	Day-4	Day-4_detct_pool_2
zmp_ph121_pool3	ZMP_phenotype_121_4dpf_pool3	ERS626196	ZFS:0000036	Larval:Day-4	Day-4	Day-4_detct_pool_3
zmp_ph121_pool4	ZMP_phenotype_121_4dpf_pool4	ERS626197	ZFS:0000036	Larval:Day-4	Day-4	Day-4_detct_pool_4
zmp_ph121_pool5	ZMP_phenotype_121_4dpf_pool5	ERS626198	ZFS:0000036	Larval:Day-4	Day-4	Day-4_detct_pool_5
zmp_ph121_pool6	ZMP_phenotype_121_4dpf_pool6	ERS626199	ZFS:0000036	Larval:Day-4	Day-4	Day-4_detct_pool_6
zmp_ph121_pool7	ZMP_phenotype_121_4dpf_pool7	ERS626200	ZFS:0000036	Larval:Day-4	Day-4	Day-4_detct_pool_7
zmp_ph121_pool8	ZMP_phenotype_121_4dpf_pool8	ERS626201	ZFS:0000036	Larval:Day-4	Day-4	Day-4_detct_pool_8
